"SQL_QueryMonth";"SQL_QueryYear";"DebugTraceID";"SubmissionID";"SubmissionDateTime";"SubmissionDate";"SubmissionHour";"SubmissionMinute";"SubmissionDay";"SubmissionDayName";"SubmissionWeek";"SubmissionMonth";"SubmissionYear";"ReportDateTime";"ReportDate";"ReportHour";"ReportMinute";"ReportDay";"ReportDayName";"ReportWeek";"ReportMonth";"ReportYear";"Ex_RequestStart";"Ex_BeginAggregation";"Ex_GetMetadata";"Ex_BeginRulesUpdate";"Ex_RuleResultInsert";"DomainID";"DomainName";"DomainLayerID";"DomainLayerName";"DomainAttributeName";"DomainAttributeID";"SourceID";"SourceName";"SourceLayerID";"SourceLayerName";"SourceAttributeID";"SourceAttributeName";"SourceAttributeProcessingDataType";"RuleID";"RuleName";"TotalRecordsCount";"FilteredRecordsCount";"RuleRecordsCount";"RuleSuccessCount";"RuleFailCount";"DataQualityPercentage";"CategoryID";"CategoryName";"CategoryLayerID";"CategoryLayerName";"FilterRuleID";"FilterRuleName";"FilterDomainID";"FilterDomainName";"FilterDomainLayerID";"FilterDomainLayerName";"FilterDomainAttributeID";"FilterDomainAttributeName";"FilterSourceName";"FilterSourceLayerName";"FilterSourceAttributeName";"FilterSourceAttributeDataType";"FilterSourceAttributeID";"LoadType";"CurrentDate";"CurrentHour";"CurrentMinute";"CurrentDay";"CurrentDayName";"CurrentWeek";"CurrentMonth";"CurrentYear"
6;2020;"Asif Shaikh";"9dbabb11-debf-4178-a53a-9cac0efc2b83";2020-06-01 23:00:00;2020-06-01;23;0;153;"Mon";23;6;2020;2020-06-01 23:00:00;2020-06-01;23;0;153;"Mon";23;6;2020;2021-01-12 23:16:53;2021-01-12 23:16:54;2021-01-12 23:16:54;2021-01-12 23:16:58;2021-01-12 23:16:58;2;"Customer";3;"Personal";"Gender";7;2;"CRM";3;"CustomerTable";3;"GD";"STRING";1;"Column is populated";100;0;100;61;39;61;1;"Data Quality";1179;"Completeness";;;;"Customer";;"Personal";;"Gender";"CRM";"CustomerTable";"GD";"STRING";;"System";2021-01-13;15;5;13;"Wed";2;1;2021
6;2020;"Asif Shaikh";"027ba82e-62fa-4daa-98ce-47371343e71f";2020-06-01 23:00:00;2020-06-01;23;0;153;"Mon";23;6;2020;2020-06-01 23:00:00;2020-06-01;23;0;153;"Mon";23;6;2020;2021-01-12 23:16:53;2021-01-12 23:16:54;2021-01-12 23:16:54;2021-01-12 23:16:58;2021-01-12 23:16:58;2;"Customer";4;"Contact";"Mobile";4;2;"CRM";3;"CustomerTable";14;"Mobile";"STRING";1;"Column is populated";100;0;100;68;32;68;1;"Data Quality";1179;"Completeness";;;;"Customer";;"Contact";;"Mobile";"CRM";"CustomerTable";"Mobile";"STRING";;"System";2021-01-13;15;5;13;"Wed";2;1;2021
6;2020;"Asif Shaikh";"0edafba2-1361-42bc-8303-5f1ad53b16b2";2020-06-01 23:00:00;2020-06-01;23;0;153;"Mon";23;6;2020;2020-06-01 23:00:00;2020-06-01;23;0;153;"Mon";23;6;2020;2021-01-12 23:16:53;2021-01-12 23:16:54;2021-01-12 23:16:54;2021-01-12 23:16:58;2021-01-12 23:16:58;2;"Customer";3;"Personal";"Gender";7;2;"CRM";3;"CustomerTable";3;"GD";"STRING";4;"Column is valid Gender value";100;61;61;33;28;33;1;"Data Quality";1175;"Validity";1;"Column is populated";2;"Customer";3;"Personal";7;"Gender";"CRM";"CustomerTable";"GD";"STRING";3;"System";2021-01-13;15;5;13;"Wed";2;1;2021
6;2020;"Asif Shaikh";"1374c103-cbbd-4952-8307-ed7dfea1fde5";2020-06-01 23:00:00;2020-06-01;23;0;153;"Mon";23;6;2020;2020-06-01 23:00:00;2020-06-01;23;0;153;"Mon";23;6;2020;2021-01-12 23:16:53;2021-01-12 23:16:54;2021-01-12 23:16:54;2021-01-12 23:16:58;2021-01-12 23:16:58;2;"Customer";4;"Contact";"Mobile";4;2;"CRM";3;"CustomerTable";14;"Mobile";"STRING";2;"Mobile number is valid syntax and structure";100;68;68;25;43;25;1;"Data Quality";1175;"Validity";1;"Column is populated";2;"Customer";4;"Contact";4;"Mobile";"CRM";"CustomerTable";"Mobile";"STRING";14;"System";2021-01-13;15;5;13;"Wed";2;1;2021
6;2020;"Asif Shaikh";"cd65ced3-9c65-427d-bf24-941c31f516e8";2020-06-06 23:00:00;2020-06-06;23;0;158;"Sat";23;6;2020;2020-06-06 23:00:00;2020-06-06;23;0;158;"Sat";23;6;2020;2021-01-12 23:36:12;2021-01-12 23:36:12;2021-01-12 23:36:12;2021-01-12 23:36:14;2021-01-12 23:36:14;2;"Customer";3;"Personal";"Gender";7;2;"CRM";3;"CustomerTable";3;"GD";"STRING";1;"Column is populated";100;0;100;61;39;61;1;"Data Quality";1179;"Completeness";;;;"Customer";;"Personal";;"Gender";"CRM";"CustomerTable";"GD";"STRING";;"System";2021-01-13;15;5;13;"Wed";2;1;2021
6;2020;"Asif Shaikh";"998e027e-e356-4ef0-884f-a5618e411b84";2020-06-06 23:00:00;2020-06-06;23;0;158;"Sat";23;6;2020;2020-06-06 23:00:00;2020-06-06;23;0;158;"Sat";23;6;2020;2021-01-12 23:36:12;2021-01-12 23:36:12;2021-01-12 23:36:12;2021-01-12 23:36:14;2021-01-12 23:36:14;2;"Customer";4;"Contact";"Mobile";4;2;"CRM";3;"CustomerTable";14;"Mobile";"STRING";1;"Column is populated";100;0;100;68;32;68;1;"Data Quality";1179;"Completeness";;;;"Customer";;"Contact";;"Mobile";"CRM";"CustomerTable";"Mobile";"STRING";;"System";2021-01-13;15;5;13;"Wed";2;1;2021
6;2020;"Asif Shaikh";"4e25efa6-7ea3-4041-9733-8e633219647c";2020-06-06 23:00:00;2020-06-06;23;0;158;"Sat";23;6;2020;2020-06-06 23:00:00;2020-06-06;23;0;158;"Sat";23;6;2020;2021-01-12 23:36:12;2021-01-12 23:36:12;2021-01-12 23:36:12;2021-01-12 23:36:14;2021-01-12 23:36:14;2;"Customer";3;"Personal";"Gender";7;2;"CRM";3;"CustomerTable";3;"GD";"STRING";4;"Column is valid Gender value";100;61;61;33;28;33;1;"Data Quality";1175;"Validity";1;"Column is populated";2;"Customer";3;"Personal";7;"Gender";"CRM";"CustomerTable";"GD";"STRING";3;"System";2021-01-13;15;5;13;"Wed";2;1;2021
6;2020;"Asif Shaikh";"b2b6a869-e202-41b5-884f-c692577791a1";2020-06-06 23:00:00;2020-06-06;23;0;158;"Sat";23;6;2020;2020-06-06 23:00:00;2020-06-06;23;0;158;"Sat";23;6;2020;2021-01-12 23:36:12;2021-01-12 23:36:12;2021-01-12 23:36:12;2021-01-12 23:36:14;2021-01-12 23:36:14;2;"Customer";4;"Contact";"Mobile";4;2;"CRM";3;"CustomerTable";14;"Mobile";"STRING";2;"Mobile number is valid syntax and structure";100;68;68;25;43;25;1;"Data Quality";1175;"Validity";1;"Column is populated";2;"Customer";4;"Contact";4;"Mobile";"CRM";"CustomerTable";"Mobile";"STRING";14;"System";2021-01-13;15;5;13;"Wed";2;1;2021
6;2020;"Asif Shaikh";"591dd640-d82f-489b-89f8-efcba7882587";2020-06-10 23:00:00;2020-06-10;23;0;162;"Wed";24;6;2020;2020-06-10 23:00:00;2020-06-10;23;0;162;"Wed";24;6;2020;2021-01-12 23:39:38;2021-01-12 23:39:39;2021-01-12 23:39:39;2021-01-12 23:39:40;2021-01-12 23:39:40;2;"Customer";3;"Personal";"Gender";7;2;"CRM";3;"CustomerTable";3;"GD";"STRING";1;"Column is populated";100;0;100;61;39;61;1;"Data Quality";1179;"Completeness";;;;"Customer";;"Personal";;"Gender";"CRM";"CustomerTable";"GD";"STRING";;"System";2021-01-13;15;5;13;"Wed";2;1;2021
6;2020;"Asif Shaikh";"e6e452e0-455b-4757-b427-f9ed3db349ce";2020-06-10 23:00:00;2020-06-10;23;0;162;"Wed";24;6;2020;2020-06-10 23:00:00;2020-06-10;23;0;162;"Wed";24;6;2020;2021-01-12 23:39:38;2021-01-12 23:39:39;2021-01-12 23:39:39;2021-01-12 23:39:40;2021-01-12 23:39:40;2;"Customer";4;"Contact";"Mobile";4;2;"CRM";3;"CustomerTable";14;"Mobile";"STRING";1;"Column is populated";100;0;100;68;32;68;1;"Data Quality";1179;"Completeness";;;;"Customer";;"Contact";;"Mobile";"CRM";"CustomerTable";"Mobile";"STRING";;"System";2021-01-13;15;5;13;"Wed";2;1;2021
