"SourceName";"SourceLayerName";"DQM_GlobalRecordID";"DQM_RecordID";"DQM_RuleCodesApplied";"DQM_RuleCodesAppliedLA";"DQM_RuleCodesAppliedLAGuid";"DQM_RuleCodesAppliedMappings";"DQM_RuleCodesAppliedForFilter";"DQM_RuleCodesAppliedLAForFilter";"DQM_RuleCodesAppliedLAFiltered";"DQM_RuleCodesFailed";"DQM_RuleCodesFailedLA";"DQM_RecordScore";"DQM_RecordExplanation";"splitted_DQM_RuleCodesAppliedLAForFilter_RDC";"splitted_DQM_RuleCodesAppliedLAForFilter";"par_LeadingAttribute";"par_RuleID";"par_FilterRuleID";"par_FilterLeadingAttribute"
"OmniCRM";"og_customer";"Customer:OmniCRM:87";"87";"1 10 1";"1.Gender 10.Gender 1.Mobile";"2686331f-58ef-487e-b168-282169020582 75cc57b2-12f7-41ef-a31a-1f3583085332 957d2365-393a-4ca2-a4da-22d872799db8";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1 1";"1.Gender 1.Mobile";20;"COLUMN_NOT_POPULATED(Gender) COLUMN_NOT_POPULATED(Mobile)";"0:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:14";"14";"1 10 1";"1.Gender 10.Gender 1.Mobile";"7a81c7f8-e05e-41bf-9222-114264c4350d 9ffa38ea-b6dc-402b-8f36-fc08341e2d17 a726b3ef-8819-45a5-841f-3240ad165386";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"1";"1.Mobile";10;"COLUMN_NOT_POPULATED(Mobile)";"1:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:22";"22";"1 10 1";"1.Gender 10.Gender 1.Mobile";"90a4b37d-d641-448b-9ce7-b1c33b8251a5 76404c67-0d92-4b2e-a032-df2828892e8a 27af55d9-9c95-4f1a-9f46-7b41f98907cb";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"2:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:30";"30";"1 10 1";"1.Gender 10.Gender 1.Mobile";"9e0a4bbb-1ffe-4a32-b72f-8a27991a41b2 9f7bd0a8-0eae-40d7-9aaf-edd7c77440e0 8c6f012d-9282-45cd-b6c1-007474fa5b57";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10";"10.Gender";10;"INVALID_GENDER_VALUE(Gender)";"3:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:18";"18";"1 10 1";"1.Gender 10.Gender 1.Mobile";"55948cb7-7f30-4f58-bb40-4165ecf73362 c328bf50-6394-4d57-a899-c1410361dbad ff004592-5c9d-480f-9fc1-4989659f76be";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"4:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:27";"27";"1 10 1";"1.Gender 10.Gender 1.Mobile";"bc042415-7f87-4338-8b06-4ee3643877a5 26823cb2-0982-4736-b374-9f5d2934dc53 827bcb6a-96ff-49ec-be73-b636605d893c";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10";"10.Gender";10;"INVALID_GENDER_VALUE(Gender)";"5:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:39";"39";"1 10 1";"1.Gender 10.Gender 1.Mobile";"e7c23c4d-a812-4bf3-aa83-37a51a2f61c0 eae4ca16-2b8c-4b30-be52-8e903da6b602 c3da05b6-f560-4162-a076-a8b160ebf2c4";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"6:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:93";"93";"1 10 1";"1.Gender 10.Gender 1.Mobile";"d6f77656-d34d-41f1-9661-3b318f572c66 f28bdd13-1c44-4b49-bd99-00a8380293e6 d1244b49-77cd-44fc-b5f5-87948cb04376";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1";"1.Gender";10;"COLUMN_NOT_POPULATED(Gender)";"7:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:66";"66";"1 10 1";"1.Gender 10.Gender 1.Mobile";"f5eeadae-0dee-4ad4-a6f6-64ca239b985e a774401a-cc0a-40c4-8ed5-d5f5e9d3b8dd fb08d4b9-70ee-48fb-aab8-f1bdf80fbc22";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10";"10.Gender";10;"INVALID_GENDER_VALUE(Gender)";"9:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:74";"74";"1 10 1";"1.Gender 10.Gender 1.Mobile";"310cbc94-51ad-41c6-b383-b0e4506e7387 dddb54b2-af1b-441f-b3f8-c6eb67cd78e2 5e1e5393-46a3-487d-b450-d526699ecbbd";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"10:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:75";"75";"1 10 1";"1.Gender 10.Gender 1.Mobile";"044c667f-35df-4b88-9e7c-dc6fdbbce9f7 a295fd83-20ea-4e78-a5a5-8bc1986b2bed 53b9671a-5385-4b1b-bf19-df15ce890d65";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1 1";"1.Gender 1.Mobile";20;"COLUMN_NOT_POPULATED(Gender) COLUMN_NOT_POPULATED(Mobile)";"11:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:47";"47";"1 10 1";"1.Gender 10.Gender 1.Mobile";"6c8f2475-b022-412a-8c00-f484276f1d02 965627c8-b256-4b78-853c-2e4af542e208 fee51486-d6c6-45c7-9c28-987a2852c3b2";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1";"1.Gender";10;"COLUMN_NOT_POPULATED(Gender)";"12:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:58";"58";"1 10 1";"1.Gender 10.Gender 1.Mobile";"beedbc1a-dee0-40e8-9cf2-4c2881b63d21 aedb3edc-394d-4640-974f-022322f2b0df c69226c0-23b8-4c47-bee6-4f66f8c3b97b";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1";"1.Gender";10;"COLUMN_NOT_POPULATED(Gender)";"13:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:71";"71";"1 10 1";"1.Gender 10.Gender 1.Mobile";"74eeb766-799c-4611-a93e-6413ed835268 4d4c66fb-e635-4d2b-b7c2-dd26862faf45 f1d2df74-1ec2-48da-9d44-3bd124b9a2f7";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10";"10.Gender";10;"INVALID_GENDER_VALUE(Gender)";"14:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:69";"69";"1 10 1";"1.Gender 10.Gender 1.Mobile";"c2ddc642-f027-4002-9492-1615c287ddac a09d1d45-5312-43e2-b066-b6d9a92fb944 46994a16-0ae5-46d5-a5ac-ba25dc80864d";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1 1";"1.Gender 1.Mobile";20;"COLUMN_NOT_POPULATED(Gender) COLUMN_NOT_POPULATED(Mobile)";"15:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:83";"83";"1 10 1";"1.Gender 10.Gender 1.Mobile";"ca9b24ee-5a22-4365-be8b-f6b90dafe947 d3c27fa2-ac22-4bb8-a665-ca269e84314f 4a79d1ad-a83c-4b7b-a50c-e4fed988cd04";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"16:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:78";"78";"1 10 1";"1.Gender 10.Gender 1.Mobile";"01c39df8-7a7b-436c-b33a-355835190f2d ee7ab1b6-0e75-4829-a321-553e2455a476 8a3bb08c-6eb3-4088-85e8-6a924968c128";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1";"1.Gender";10;"COLUMN_NOT_POPULATED(Gender)";"17:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:32";"32";"1 10 1";"1.Gender 10.Gender 1.Mobile";"60c91cd4-9b96-42bc-a500-733a44e73ecf 4d1d3700-8e83-48f5-8749-618360bb51a5 0bd361aa-3869-4548-93e7-2713288c538a";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10";"10.Gender";10;"INVALID_GENDER_VALUE(Gender)";"18:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:85";"85";"1 10 1";"1.Gender 10.Gender 1.Mobile";"3aee9741-d245-4f23-adc2-34e2c9544316 9fc98d7d-f832-4553-9d04-b3dfff4e3991 e020c65d-9d9d-4e0c-b027-c2697a93ce76";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10 1";"10.Gender 1.Mobile";20;"INVALID_GENDER_VALUE(Gender) COLUMN_NOT_POPULATED(Mobile)";"19:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:28";"28";"1 10 1";"1.Gender 10.Gender 1.Mobile";"992079a3-5c3e-49b4-8bea-060224bd6c36 fbdb0973-02de-4bb5-b5d2-06935e4acd1f ec551029-c048-4872-b1d4-f39ccbf2e1fd";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1";"1.Gender";10;"COLUMN_NOT_POPULATED(Gender)";"21:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:70";"70";"1 10 1";"1.Gender 10.Gender 1.Mobile";"55ae003d-d4a0-4db5-a09b-44bcb08c638f e07a653d-c097-493e-a531-50e5e7d7e76d 1db6e1f9-5cee-467b-bb2c-c60229413060";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10 1";"10.Gender 1.Mobile";20;"INVALID_GENDER_VALUE(Gender) COLUMN_NOT_POPULATED(Mobile)";"22:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:40";"40";"1 10 1";"1.Gender 10.Gender 1.Mobile";"570a8216-96bd-480a-80b3-9e1f73638811 e51475bd-dd8f-4067-a81b-e80848513217 e1b46fd1-4d0e-43a9-8b49-9a9906acd049";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"24:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:23";"23";"1 10 1";"1.Gender 10.Gender 1.Mobile";"13162729-306c-4b2c-89eb-b7bde74b38e9 80ec69e1-ba13-4f1c-8f45-1f1581a9a312 bf5fee80-14cc-411d-b96f-b4f5b95e227c";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";"10";"10.Gender";10;"INVALID_GENDER_VALUE(Gender)";"26:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniImInAMess";"og_customer";"Customer:OmniImInAMess:36";"36";"1 10 1";"1.Gender 10.Gender 1.Mobile";"d734a26e-b1ec-4af2-968e-4e531d966e58 819642aa-2654-411c-91d9-b9cb0d48fa84 4d3c232e-8b38-46cb-9ac7-d1e4db275600";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";"1.Gender*10.Gender";;;0;;"29:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
"OmniCRM";"og_customer";"Customer:OmniCRM:62";"62";"1 10 1";"1.Gender 10.Gender 1.Mobile";"be2e37b4-98df-414d-81a7-527e6c6a993a 5d3fffcb-8228-4476-8d13-1697b43c4271 fb38ef7a-5bb7-4031-b7e9-4944bbd4c2df";"1:Gender:Rule_Attribute_1.Gender 10:Gender:Rule_Attribute_1.Gender 1:Mobile:Rule_Attribute_1.Mobile";"1*10";"1.Gender*10.Gender";;"1 1";"1.Gender 1.Mobile";20;"COLUMN_NOT_POPULATED(Gender) COLUMN_NOT_POPULATED(Mobile)";"31:1:1";"1.Gender*10.Gender";"Gender";10;1;"Gender"
