"count-records";"example-numCases";"example-numValues";"count-keys";"example-value";"count-description";"example-index";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"domainAnalyse-name";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
6;;;6;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"f"
1;;;1;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"f"
15;;;14;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"F"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"F"
16;;;14;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"F"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"F"
1;;;1;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
1;;;1;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
1;;;1;;"valid";;"S_6";"Mobile";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
0;;;0;;"invalid";;"S_6";"Mobile";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
1;;;1;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Fem"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;;;1;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Fem"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Fem"
3;;;3;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Femail"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Femail"
3;;;3;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Femail"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;;;1;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"femal"
0;;;0;;"invalid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"femal"
1;;;1;;"valid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"femal"
0;;;0;;"invalid";;"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"femal"
5;;;5;;"valid";;"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"Female"
