"example-numCases";"example-numValues";"example-value";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"domainAnalyse-name";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
7;7;"W W";"S_1";"FullName";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
7;1;"L";"S_2";"GD";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
6;6;"N-N-N";"S_3";"CalculatedDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"L/L";"S_3";"CalculatedDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
6;6;"N-N-N";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"L/L";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"W:N";"S_5";"Description";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"N";"S_5";"Description";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
3;3;"N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"N N N,N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
3;3;"N N N N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
3;3;"W.W.W@W.W";"S_7";"Email";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
2;2;"W.W@W.W";"S_7";"Email";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
6;4;"D";"S_8";"directmailing";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
6;2;"D";"S_9";"directemail";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
6;3;"D";"S_10";"directtelephone";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"W";"S_11";"titleCode";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
3;3;"LN";"S_11";"titleCode";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"L. W";"S_1";"FullName";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
1;1;"W.W W";"S_1";"FullName";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
1;1;"W. W W";"S_1";"FullName";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
2;2;"W W W";"S_1";"FullName";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
1;1;"W. W W L.L.";"S_1";"FullName";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
10;10;"W W";"S_1";"FullName";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
16;1;"L";"S_2";"GD";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
11;11;"N-N-N";"S_3";"CalculatedDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
1;1;"L. N-N-N";"S_3";"CalculatedDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
3;2;"N.N.N";"S_3";"CalculatedDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
11;11;"N-N-N";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
2;1;"N";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
3;2;"N.N.N";"S_4";"BirthDate";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
4;1;"W:N";"S_5";"Description";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
3;1;"N";"S_5";"Description";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
13;11;"N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
1;1;"N N N, N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
2;2;"N N N N N N";"S_6";"Mobile";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
6;2;"W.W.W@W.W";"S_7";"Email";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
4;2;"W.W@W.W";"S_7";"Email";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
4;1;"W.W@.W";"S_7";"Email";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
11;3;"D";"S_8";"directmailing";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
12;4;"D";"S_9";"directemail";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
12;4;"D";"S_10";"directtelephone";"in";"pattern";"GD";"S_2";"ru_RollupOnGD";"F"
