"item-count";"ProfileInternalColumnName";"ProfileSourceAttributeName";"item-percent";"item-value";"ProfileInputName";"ProfileSourceAttributeType";"FrequencyType"
1;"S_0";"RecID";"1%";"1";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"2";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"3";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"4";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"5";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"6";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"7";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"8";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"9";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"10";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"11";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"12";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"13";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"14";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"15";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"16";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"17";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"18";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"19";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"20";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"21";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"22";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"23";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"24";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"25";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"26";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"27";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"28";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"29";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"30";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"31";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"32";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"33";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"34";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"35";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"36";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"37";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"38";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"39";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"40";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"41";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"42";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"43";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"44";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"45";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"46";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"47";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"48";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"49";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"50";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"51";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"52";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"53";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"54";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"55";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"56";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"57";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"58";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"59";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"60";"in";"LONG";"Value"
5;"S_1";"FullName";"5%";"LLLLLL LLLLLLL";"in";"STRING";"Masked"
3;"S_1";"FullName";"3%";"LL. LLLL LLLLL";"in";"STRING";"Masked"
3;"S_1";"FullName";"3%";"LLLL LLLLLL";"in";"STRING";"Masked"
3;"S_1";"FullName";"3%";"LLLLLL LLLLL";"in";"STRING";"Masked"
3;"S_1";"FullName";"3%";"LLLLLLL LLLLL";"in";"STRING";"Masked"
3;"S_1";"FullName";"3%";"LLLLLLL LLLLLLL";"in";"STRING";"Masked"
3;"S_1";"FullName";"3%";"LLLLLLL LLLLLLLL";"in";"STRING";"Masked"
3;"S_1";"FullName";"3%";"LLLLLLLLL LLLLL";"in";"STRING";"Masked"
3;"S_1";"FullName";"3%";"LLLLLLLLL LLLLLL";"in";"STRING";"Masked"
2;"S_1";"FullName";"2%";"LLLL LLLLLLL LLL";"in";"STRING";"Masked"
2;"S_1";"FullName";"2%";"LLLLL LLLLL LL";"in";"STRING";"Masked"
2;"S_1";"FullName";"2%";"LLLLLL LLLLLLLL";"in";"STRING";"Masked"
2;"S_1";"FullName";"2%";"LLLLLLL LLL";"in";"STRING";"Masked"
2;"S_1";"FullName";"2%";"LLLLLLL LLLLL LL";"in";"STRING";"Masked"
2;"S_1";"FullName";"2%";"LLLLLLL LLLLLLLLL";"in";"STRING";"Masked"
2;"S_1";"FullName";"2%";"LLLLLLLL LLLLL";"in";"STRING";"Masked"
2;"S_1";"FullName";"2%";"LLLLLLLL LLLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"L. LLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"L. LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL LLLLL LLLL";"in";"STRING";"Masked"
1;"S_0";"RecID";"1%";"61";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"62";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"63";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"64";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"65";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"66";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"67";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"68";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"69";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"70";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"71";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"72";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"73";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"74";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"75";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"76";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"77";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"78";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"79";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"80";"in";"LONG";"Value"
1;"S_1";"FullName";"1%";"LL LLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL LLLLL LLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL LLLLLL LLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL LLLLLL LLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL LLLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL LLLLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL LLLLLLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL. L.L. LLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL. LLL LLLL L.L.";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL. LLLL LLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL. LLLLL LLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL. LLLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL. LLLLLL LLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL. LLLLLL LLLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL. LLLLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL. LLLLLLL LLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL.LLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LL.LLLLLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLL LLL LLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLL LLLLL LLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLL LLLLLLL LLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLL LLLLLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLL LLLLLLLL LLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLL LLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLL LLLLL LL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLL LLLLLLL LLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLL L. LLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLL LLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLL LLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLL LLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLL LLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLL LLLLLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLL LLLLLLLLLL LL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLL LLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLL LLLL LL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLL LLLL LLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLL LLLLL LL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLL LLLLLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLL LLLLLL LLL";"in";"STRING";"Masked"
1;"S_1";"FullName";"1%";"LLLLLL LLLLLLLLL LLL";"in";"STRING";"Masked"
1;"S_0";"RecID";"1%";"81";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"82";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"83";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"84";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"85";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"86";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"87";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"88";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"89";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"90";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"91";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"92";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"93";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"94";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"95";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"96";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"97";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"98";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"99";"in";"LONG";"Value"
1;"S_0";"RecID";"1%";"101";"in";"LONG";"Value"
1;"S_1";"FullName";"1%";"A. Whitman";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Adam Whitman RPA";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Aguila Ammie";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Alease Cusworth";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Aleshia Kaszton";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Alyson Haaz Mr";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Armstead Eryn";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Bail Gustavo DDS";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Bockelmann Amalia";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Carline McPheron";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Caspers Belia";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Catherine Whitbread";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Choulnard Mollie";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Condell Leandra";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Cryderman Felton";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Cuculich Kristofer";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Daniel Right Mr";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Deemer Wenona Mrs";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Denisse Smith";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Dirkse Jazmine";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Doerner Ema";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Dr. J.W. Smith";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Dr. John Smith";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Edythe Hodgen";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Elizbeth Kazmer R.Ph";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Esteban Foussell";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Fleisner Edward CIA";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Glynis Schnitzer BDS";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Halpain Vania Ms";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Handon Donette";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Harmeyer Karen";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Hrabal Lucy";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Idiart Renaldo";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"J. Smith";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Jane Smith";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Janette Smith";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Jeanett Dicecco Mrs";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"John Smiht Mr";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"John William Smith";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Karen Wolf";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Laverne Clumpner";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Lebrecht Jacinto Mr";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Lita Leitze";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Loriann Blaydon";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Lorretta Garavaglia";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Lupita Isidoro";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mable Grill Ms";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Magill Melodie";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Maldanado Madge";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Maryln Szigethy";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mestrovich Jolanda";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mr Denver Rotty";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mr Loren Sowinski";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mr Peter Jenkins";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mr Smith John";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mr. John Smith";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mr. Redler Ezequiel";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"MR. Rolff Kellye";"in";"STRING";"Value"
1;"S_1";"FullName";"1%";"Mr. Teodora Ramagano";"in";"STRING";"Value"
