"item-value";"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
"7";"false";"count";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"0";"false";"count_nulls";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"7";"false";"count_not_nulls";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"18";"true";"first_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"34";"true";"first_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"35";"true";"first_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"36";"true";"first_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"39";"true";"first_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"91";"true";"last_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"41";"true";"last_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"39";"true";"last_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"36";"true";"last_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"35";"true";"last_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"18";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"18";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"34";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"35";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"35";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"36";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"39";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"39";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"41";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"91";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"91";"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"7";"false";"distinct";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"7";"false";"unique";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"18";"false";"min";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"91";"false";"max";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"36";"false";"median";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"294";"false";"sum";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"42";"false";"avg";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"21.1660104885";"false";"std";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"448";"false";"var";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
