"count-records";"count-keys";"count-description";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"domainAnalyse-name";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
6;6;"valid";"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"f"
1;1;"invalid";"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"f"
6;4;"valid";"S_8";"directmailing";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"f"
0;0;"invalid";"S_8";"directmailing";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"f"
6;2;"valid";"S_9";"directemail";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"f"
0;0;"invalid";"S_9";"directemail";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"f"
6;3;"valid";"S_10";"directtelephone";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"f"
0;0;"invalid";"S_10";"directtelephone";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"f"
15;14;"valid";"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"F"
0;0;"invalid";"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"F"
16;14;"valid";"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"F"
0;0;"invalid";"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"F"
11;3;"valid";"S_8";"directmailing";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"F"
0;0;"invalid";"S_8";"directmailing";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"F"
12;4;"valid";"S_9";"directemail";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"F"
0;0;"invalid";"S_9";"directemail";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"F"
12;4;"valid";"S_10";"directtelephone";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"F"
0;0;"invalid";"S_10";"directtelephone";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"F"
1;1;"valid";"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
0;0;"invalid";"S_3";"CalculatedDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
1;1;"valid";"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
0;0;"invalid";"S_4";"BirthDate";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
1;1;"valid";"S_6";"Mobile";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
0;0;"invalid";"S_6";"Mobile";"in";"day";"GD";"S_2";"ru_RollupOnGD";"fem"
1;1;"valid";"S_8";"directmailing";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"fem"
0;0;"invalid";"S_8";"directmailing";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"fem"
1;1;"valid";"S_9";"directemail";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"fem"
0;0;"invalid";"S_9";"directemail";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"fem"
1;1;"valid";"S_10";"directtelephone";"in";"integer";"GD";"S_2";"ru_RollupOnGD";"fem"
