"item-count";"ProfileInternalColumnName";"ProfileSourceAttributeName";"item-percent";"item-value";"ProfileInputName";"ProfileSourceAttributeType";"FrequencyType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
1;"S_0";"RecID";"14.2857142857%";"18";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_0";"RecID";"14.2857142857%";"34";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_0";"RecID";"14.2857142857%";"35";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_0";"RecID";"14.2857142857%";"36";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_0";"RecID";"14.2857142857%";"39";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_0";"RecID";"14.2857142857%";"41";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_0";"RecID";"14.2857142857%";"91";"in";"LONG";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_1";"FullName";"14.2857142857%";"Aguila Ammie";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_1";"FullName";"14.2857142857%";"Aleshia Kaszton";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_1";"FullName";"14.2857142857%";"Carline McPheron";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_1";"FullName";"14.2857142857%";"Condell Leandra";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_1";"FullName";"14.2857142857%";"Dirkse Jazmine";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_1";"FullName";"14.2857142857%";"Magill Melodie";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_1";"FullName";"14.2857142857%";"Tryninewski Honey";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
7;"S_2";"GD";"100%";"f";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_3";"CalculatedDate";"14.2857142857%";"1949-03-13";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_3";"CalculatedDate";"14.2857142857%";"1949-03-29";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_3";"CalculatedDate";"14.2857142857%";"1958-02-01";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_3";"CalculatedDate";"14.2857142857%";"1963-03-13";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_3";"CalculatedDate";"14.2857142857%";"1968-12-10";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_3";"CalculatedDate";"14.2857142857%";"1978-07-20";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_3";"CalculatedDate";"14.2857142857%";"N/A";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_4";"BirthDate";"14.2857142857%";"1949-03-14";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_4";"BirthDate";"14.2857142857%";"1949-03-30";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_4";"BirthDate";"14.2857142857%";"1958-02-00";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_4";"BirthDate";"14.2857142857%";"1963-03-14";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_4";"BirthDate";"14.2857142857%";"1968-12-11";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_4";"BirthDate";"14.2857142857%";"1978-07-21";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_4";"BirthDate";"14.2857142857%";"N/A";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
5;"S_5";"Description";"71.4285714286%";;"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_5";"Description";"14.2857142857%";"07801211963";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_5";"Description";"14.2857142857%";"HI:123456";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_6";"Mobile";"14.2857142857%";"44 7700 900005 44 7700 900489";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_6";"Mobile";"14.2857142857%";"44 7700 900059,44 7700 900059";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_6";"Mobile";"14.2857142857%";"44 7700 900389";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_6";"Mobile";"14.2857142857%";"44 7700 900525";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_6";"Mobile";"14.2857142857%";"44 7700 900556";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_6";"Mobile";"14.2857142857%";"44 7700 900625 44 7700 900489";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
1;"S_6";"Mobile";"14.2857142857%";"44 7700 900875 44 7700 900489";"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
2;"S_7";"Email";"28.5714285714%";;"in";"STRING";"Value";"GD";"S_2";"ru_RollupOnGD";"f"
