"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"ProfileSourceAttributeType"
"false";"count";"S_0";"RecID";"in";"LONG"
"false";"count_nulls";"S_0";"RecID";"in";"LONG"
"false";"count_not_nulls";"S_0";"RecID";"in";"LONG"
"true";"first_x";"S_0";"RecID";"in";"LONG"
"true";"last_x";"S_0";"RecID";"in";"LONG"
"true";"quantiles";"S_0";"RecID";"in";"LONG"
"false";"distinct";"S_0";"RecID";"in";"LONG"
"false";"unique";"S_0";"RecID";"in";"LONG"
"false";"min";"S_0";"RecID";"in";"LONG"
"false";"max";"S_0";"RecID";"in";"LONG"
"false";"median";"S_0";"RecID";"in";"LONG"
"false";"sum";"S_0";"RecID";"in";"LONG"
"false";"avg";"S_0";"RecID";"in";"LONG"
"false";"std";"S_0";"RecID";"in";"LONG"
"false";"var";"S_0";"RecID";"in";"LONG"
"false";"non_unique";"S_0";"RecID";"in";"LONG"
"false";"duplicate";"S_0";"RecID";"in";"LONG"
"false";"count";"S_1";"FullName";"in";"STRING"
"false";"count_nulls";"S_1";"FullName";"in";"STRING"
"false";"count_not_nulls";"S_1";"FullName";"in";"STRING"
"true";"first_x";"S_1";"FullName";"in";"STRING"
"true";"last_x";"S_1";"FullName";"in";"STRING"
"true";"quantiles";"S_1";"FullName";"in";"STRING"
"false";"distinct";"S_1";"FullName";"in";"STRING"
"false";"unique";"S_1";"FullName";"in";"STRING"
"false";"min";"S_1";"FullName";"in";"STRING"
"false";"max";"S_1";"FullName";"in";"STRING"
"false";"median";"S_1";"FullName";"in";"STRING"
"false";"min_positive_length";"S_1";"FullName";"in";"STRING"
"false";"min_length";"S_1";"FullName";"in";"STRING"
"false";"max_length";"S_1";"FullName";"in";"STRING"
"false";"avg_length";"S_1";"FullName";"in";"STRING"
"false";"median_length";"S_1";"FullName";"in";"STRING"
"false";"non_unique";"S_1";"FullName";"in";"STRING"
"false";"duplicate";"S_1";"FullName";"in";"STRING"
"false";"count";"S_2";"GD";"in";"STRING"
"false";"count_nulls";"S_2";"GD";"in";"STRING"
"false";"count_not_nulls";"S_2";"GD";"in";"STRING"
"true";"first_x";"S_2";"GD";"in";"STRING"
"true";"last_x";"S_2";"GD";"in";"STRING"
"true";"quantiles";"S_2";"GD";"in";"STRING"
"false";"distinct";"S_2";"GD";"in";"STRING"
"false";"unique";"S_2";"GD";"in";"STRING"
"false";"min";"S_2";"GD";"in";"STRING"
"false";"max";"S_2";"GD";"in";"STRING"
"false";"median";"S_2";"GD";"in";"STRING"
"false";"min_positive_length";"S_2";"GD";"in";"STRING"
"false";"min_length";"S_2";"GD";"in";"STRING"
"false";"max_length";"S_2";"GD";"in";"STRING"
"false";"avg_length";"S_2";"GD";"in";"STRING"
"false";"median_length";"S_2";"GD";"in";"STRING"
"false";"non_unique";"S_2";"GD";"in";"STRING"
"false";"duplicate";"S_2";"GD";"in";"STRING"
"false";"count";"S_3";"CalculatedDate";"in";"STRING"
"false";"count_nulls";"S_3";"CalculatedDate";"in";"STRING"
"false";"count_not_nulls";"S_3";"CalculatedDate";"in";"STRING"
"true";"first_x";"S_3";"CalculatedDate";"in";"STRING"
"true";"last_x";"S_3";"CalculatedDate";"in";"STRING"
"true";"quantiles";"S_3";"CalculatedDate";"in";"STRING"
"false";"distinct";"S_3";"CalculatedDate";"in";"STRING"
"false";"unique";"S_3";"CalculatedDate";"in";"STRING"
"false";"min";"S_3";"CalculatedDate";"in";"STRING"
"false";"max";"S_3";"CalculatedDate";"in";"STRING"
"false";"median";"S_3";"CalculatedDate";"in";"STRING"
"false";"min_positive_length";"S_3";"CalculatedDate";"in";"STRING"
"false";"min_length";"S_3";"CalculatedDate";"in";"STRING"
"false";"max_length";"S_3";"CalculatedDate";"in";"STRING"
"false";"avg_length";"S_3";"CalculatedDate";"in";"STRING"
"false";"median_length";"S_3";"CalculatedDate";"in";"STRING"
"false";"non_unique";"S_3";"CalculatedDate";"in";"STRING"
"false";"duplicate";"S_3";"CalculatedDate";"in";"STRING"
"false";"count";"S_4";"BirthDate";"in";"STRING"
"false";"count_nulls";"S_4";"BirthDate";"in";"STRING"
"false";"count_not_nulls";"S_4";"BirthDate";"in";"STRING"
"true";"first_x";"S_4";"BirthDate";"in";"STRING"
