"columnType";"column";"expression";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
"LONG";"S_0";"RecID";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_1";"FullName";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_2";"GD";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_3";"CalculatedDate";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_4";"BirthDate";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_5";"Description";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_6";"Mobile";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_7";"Email";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_8";"directmailing";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_9";"directemail";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_10";"directtelephone";"GD";"S_2";"ru_RollupOnGD";"f"
"STRING";"S_11";"titleCode";"GD";"S_2";"ru_RollupOnGD";"f"
"LONG";"S_0";"RecID";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_1";"FullName";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_2";"GD";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_3";"CalculatedDate";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_4";"BirthDate";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_5";"Description";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_6";"Mobile";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_7";"Email";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_8";"directmailing";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_9";"directemail";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_10";"directtelephone";"GD";"S_2";"ru_RollupOnGD";"F"
"STRING";"S_11";"titleCode";"GD";"S_2";"ru_RollupOnGD";"F"
"LONG";"S_0";"RecID";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_1";"FullName";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_2";"GD";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_3";"CalculatedDate";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_4";"BirthDate";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_5";"Description";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_6";"Mobile";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_7";"Email";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_8";"directmailing";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_9";"directemail";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_10";"directtelephone";"GD";"S_2";"ru_RollupOnGD";"fem"
"STRING";"S_11";"titleCode";"GD";"S_2";"ru_RollupOnGD";"fem"
"LONG";"S_0";"RecID";"GD";"S_2";"ru_RollupOnGD";"Fem"
"STRING";"S_1";"FullName";"GD";"S_2";"ru_RollupOnGD";"Fem"
"STRING";"S_2";"GD";"GD";"S_2";"ru_RollupOnGD";"Fem"
"STRING";"S_3";"CalculatedDate";"GD";"S_2";"ru_RollupOnGD";"Fem"
"STRING";"S_4";"BirthDate";"GD";"S_2";"ru_RollupOnGD";"Fem"
"STRING";"S_5";"Description";"GD";"S_2";"ru_RollupOnGD";"Fem"
"STRING";"S_6";"Mobile";"GD";"S_2";"ru_RollupOnGD";"Fem"
"STRING";"S_7";"Email";"GD";"S_2";"ru_RollupOnGD";"Fem"
"STRING";"S_8";"directmailing";"GD";"S_2";"ru_RollupOnGD";"Fem"
"STRING";"S_9";"directemail";"GD";"S_2";"ru_RollupOnGD";"Fem"
"STRING";"S_10";"directtelephone";"GD";"S_2";"ru_RollupOnGD";"Fem"
