"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"ProfileSourceAttributeType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
"false";"count";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_nulls";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_not_nulls";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"first_x";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"last_x";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"quantiles";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"distinct";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"unique";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"sum";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"avg";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"std";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"var";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"non_unique";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"duplicate";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_nulls";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_not_nulls";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"first_x";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"last_x";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"quantiles";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"distinct";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"unique";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_positive_length";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_length";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
