"domainAnalyse-name";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"ProfileSourceAttributeType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
"enum";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"integer";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"integer";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"integer";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"pattern";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"enum";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"F"
"enum";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"enum";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"day";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"enum";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"enum";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_5";"Description";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"enum";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"enum";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"integer";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"enum";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"integer";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"enum";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"integer";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"enum";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"enum";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"pattern";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"F"
"oneval";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"day";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"day";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"pattern";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"pattern";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"integer";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"pattern";"S_8";"directmailing";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"integer";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"pattern";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"integer";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"pattern";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"pattern";"S_11";"titleCode";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"fem"
"oneval";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"Fem"
"oneval";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"oneval";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"day";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"oneval";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"oneval";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"pattern";"S_6";"Mobile";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"oneval";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"pattern";"S_7";"Email";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Fem"
"enum";"S_0";"RecID";"in";"LONG";"GD";"S_2";"ru_RollupOnGD";"Femail"
"enum";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"pattern";"S_1";"FullName";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"oneval";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"pattern";"S_2";"GD";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"day";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"enum";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"pattern";"S_3";"CalculatedDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"day";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"enum";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
"pattern";"S_4";"BirthDate";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"Femail"
