"SourceSystemName";"SourceSystemExternalID";"SourceSystemDescription";"SourceSchemaName";"SourceSchemaExternalID";"SourceID";"SourceExternalID";"SourceName";"SourceTypeID";"SourceDescription";"SourceLayerName";"SourceLayerType";"SourceLayerDescription";"jdbc_ConnectionName";"DQFramework_DBType";"Omni_DBType"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"wfTickets";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"wfRemedyRef";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"case_doc_xref";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"databasechangelog";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"databasechangeloglock";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"group_node";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"ids_override_match";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"ids_override_property";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"job_request";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"md_ids_document";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_statistic";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_type";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"md_ids_document_change";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"md_ids_document_custom_type";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"md_ids_document_element";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"wfCases";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"md_ids_document_group";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"md_ids_document_list";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"md_ids_document_promote";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_foreign_table";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer_m";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_authid";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer_r";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_shadow";"VIEW";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer_s";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"omni_error_docs";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"omni_integration_point";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"omni_remediation_ticket";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"omni_source";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
"omnigen38";"omnigen38";"No Description Available";"pg_catalog";"pg_catalog";;"omnigen38";"omnigen38";1;"Omni Database";"pg_statistic_ext_data";"BASE TABLE";"No Description Available";"omni";"pg";"pg"
