"SourceSystemName";"SourceSystemExternalID";"SourceSystemDescription";"SourceSchemaName";"SourceSchemaExternalID";"SourceID";"SourceExternalID";"SourceName";"SourceTypeID";"SourceDescription";"SourceLayerName";"SourceLayerType";"SourceLayerDescription";"jdbc_ConnectionName";"DQFramework_DBType";"Omni_DBType";"ParentLayerID";"ParentLayerExternalID";"SourceLayerID";"SourceLayerExternalID";"SourceLayerTypeID";"CountReaders";"SourceAttributeID";"SourceAttributeExternalID";"OmniDB_SourceAttributeName";"OmniDB_SourceAttributeDataType";"SourceAttributeDescription";"hasReferentialContraint";"SourceAttributeName";"SourceAttributeDataType"
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_id_1";"id";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_status_2";"status";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_status_reason_3";"status_reason";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_source_name_4";"source_name";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_source_instance_id_5";"source_instance_id";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_source_instance_id_name_6";"source_instance_id_name";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_master_id_7";"master_id";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_rec_id_8";"rec_id";"integer";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_full_name_9";"full_name";"character varying";"No Description available";;;
"omnigen38";"omnigen38";"No Description Available";"public";"public";;"omnigen38";"omnigen38";1;"Omni Database";"og_customer";"BASE TABLE";"No Description Available";"omni";"pg";"pg";;;;"omnigen38_og_customer";1;1;;"og_customer_gender_10";"gender";"character varying";"No Description available";;;
