"DomainName";"DomainLayerName";"DomainAttributeName";"DomainJ1";"SourceName";"SourceLayerName";"SourceAttributeName";"SourceAttributeDataType";"SourceJ1";"OmniDB_SourceAttributeName"
"Customer";"Customer";"Email";"customeremail";;;;;;
"Customer";"Customer";"eng_id";"customerengid";"OmniImInAMess";"og_customer";"eng_id";"String";"customerengid";"eng_id"
"Customer";"Customer";"eng_id";"customerengid";"OmniCRM";"og_customer";"eng_id";"String";"customerengid";"eng_id"
"Customer";"Customer";"RecID";"customerrecid";;;;;;
"Customer";"Customer";"Gender";"customergender";;;;;;
"Customer";"Customer";"Mobile";"customermobile";;;;;;
"Customer";"Customer";"eng_ocd_source_status_code";"customerengocdsourcestatuscode";"OmniImInAMess";"og_customer";"eng_ocd_source_status_code";"String";"customerengocdsourcestatuscode";"eng_ocd_source_status_code"
"Customer";"Customer";"eng_ocd_source_status_code";"customerengocdsourcestatuscode";"OmniCRM";"og_customer";"eng_ocd_source_status_code";"String";"customerengocdsourcestatuscode";"eng_ocd_source_status_code"
"Customer";"Customer";"eng_source_instance_id";"customerengsourceinstanceid";"OmniImInAMess";"og_customer";"eng_source_instance_id";"String";"customerengsourceinstanceid";"eng_source_instance_id"
"Customer";"Customer";"eng_source_instance_id";"customerengsourceinstanceid";"OmniCRM";"og_customer";"eng_source_instance_id";"String";"customerengsourceinstanceid";"eng_source_instance_id"
"Customer";"Customer";"BirthDate";"customerbirthdate";;;;;;
"Customer";"Customer";"eng_source_modified_by";"customerengsourcemodifiedby";"OmniImInAMess";"og_customer";"eng_source_modified_by";"String";"customerengsourcemodifiedby";"eng_source_modified_by"
"Customer";"Customer";"eng_source_modified_by";"customerengsourcemodifiedby";"OmniCRM";"og_customer";"eng_source_modified_by";"String";"customerengsourcemodifiedby";"eng_source_modified_by"
"Customer";"Customer";"eng_source_instance_id_name";"customerengsourceinstanceidname";"OmniImInAMess";"og_customer";"eng_source_instance_id_name";"String";"customerengsourceinstanceidname";"eng_source_instance_id_name"
"Customer";"Customer";"eng_source_instance_id_name";"customerengsourceinstanceidname";"OmniCRM";"og_customer";"eng_source_instance_id_name";"String";"customerengsourceinstanceidname";"eng_source_instance_id_name"
"Customer";"Customer";"eng_statuseng_status_reason";"customerengstatusengstatusreason";"OmniImInAMess";"og_customer";"eng_statuseng_status_reason";"String";"customerengstatusengstatusreason";"eng_statuseng_status_reason"
"Customer";"Customer";"eng_statuseng_status_reason";"customerengstatusengstatusreason";"OmniCRM";"og_customer";"eng_statuseng_status_reason";"String";"customerengstatusengstatusreason";"eng_statuseng_status_reason"
"Customer";"Customer";"eng_parent_id";"customerengparentid";"OmniImInAMess";"og_customer";"eng_parent_id";"String";"customerengparentid";"eng_parent_id"
"Customer";"Customer";"eng_parent_id";"customerengparentid";"OmniCRM";"og_customer";"eng_parent_id";"String";"customerengparentid";"eng_parent_id"
;;;;"OmniImInAMess";"og_customer";;;"customer";
;;;;"OmniImInAMess";"og_customer";;;"customer";
;;;;"OmniImInAMess";"og_customer";;;"customer";
;;;;"OmniImInAMess";"og_customer";;;"customer";
;;;;"OmniImInAMess";"og_customer";;;"customer";
;;;;"OmniImInAMess";"og_customer";;;"customer";
;;;;"OmniCRM";"og_customer";;;"customer";
;;;;"OmniCRM";"og_customer";;;"customer";
;;;;"OmniCRM";"og_customer";;;"customer";
;;;;"OmniCRM";"og_customer";;;"customer";
;;;;"OmniCRM";"og_customer";;;"customer";
;;;;"OmniCRM";"og_customer";;;"customer";
"Customer";"Customer";"FullName";"customerfullname";;;;;;
"Customer";"Customer";"eng_source_created_date";"customerengsourcecreateddate";"OmniImInAMess";"og_customer";"eng_source_created_date";"DATETIME";"customerengsourcecreateddate";"eng_source_created_date"
"Customer";"Customer";"eng_source_created_date";"customerengsourcecreateddate";"OmniCRM";"og_customer";"eng_source_created_date";"DATETIME";"customerengsourcecreateddate";"eng_source_created_date"
"Customer";"Customer";"eng_source_name";"customerengsourcename";"OmniImInAMess";"og_customer";"eng_source_name";"String";"customerengsourcename";"eng_source_name"
"Customer";"Customer";"eng_source_name";"customerengsourcename";"OmniCRM";"og_customer";"eng_source_name";"String";"customerengsourcename";"eng_source_name"
"Customer";"Customer";"eng_source_modified_date";"customerengsourcemodifieddate";"OmniImInAMess";"og_customer";"eng_source_modified_date";"DATETIME";"customerengsourcemodifieddate";"eng_source_modified_date"
"Customer";"Customer";"eng_source_modified_date";"customerengsourcemodifieddate";"OmniCRM";"og_customer";"eng_source_modified_date";"DATETIME";"customerengsourcemodifieddate";"eng_source_modified_date"
"Customer";"Customer";"eng_source_created_by";"customerengsourcecreatedby";"OmniImInAMess";"og_customer";"eng_source_created_by";"String";"customerengsourcecreatedby";"eng_source_created_by"
"Customer";"Customer";"eng_source_created_by";"customerengsourcecreatedby";"OmniCRM";"og_customer";"eng_source_created_by";"String";"customerengsourcecreatedby";"eng_source_created_by"
"Customer";"Customer";"eng_ocs_source_status_code";"customerengocssourcestatuscode";"OmniImInAMess";"og_customer";"eng_ocs_source_status_code";"String";"customerengocssourcestatuscode";"eng_ocs_source_status_code"
"Customer";"Customer";"eng_ocs_source_status_code";"customerengocssourcestatuscode";"OmniCRM";"og_customer";"eng_ocs_source_status_code";"String";"customerengocssourcestatuscode";"eng_ocs_source_status_code"
