"SourceName";"SourceLayerName";"SourceNameright";"SourceAttributeName";"SourceAttributeDataType";"J1"
"OmniImInAMess";"og_customer";"omnigen38";;;"customer"
"OmniImInAMess";"og_customer";"omnigen38";;;"customer"
"OmniImInAMess";"og_customer";"omnigen38";;;"customer"
"OmniImInAMess";"og_customer";"omnigen38";;;"customer"
"OmniImInAMess";"og_customer";"omnigen38";;;"customer"
"OmniImInAMess";"og_customer";"omnigen38";;;"customer"
"OmniImInAMess";"og_customer";"omnigen38";"eng_id";"String";"customerengid"
"OmniImInAMess";"og_customer";"omnigen38";"eng_source_name";"String";"customerengsourcename"
"OmniImInAMess";"og_customer";"omnigen38";"eng_source_instance_id";"String";"customerengsourceinstanceid"
"OmniImInAMess";"og_customer";"omnigen38";"eng_source_instance_id_name";"String";"customerengsourceinstanceidname"
"OmniImInAMess";"og_customer";"omnigen38";"eng_statuseng_status_reason";"String";"customerengstatusengstatusreason"
"OmniImInAMess";"og_customer";"omnigen38";"eng_source_created_date";"DATETIME";"customerengsourcecreateddate"
"OmniImInAMess";"og_customer";"omnigen38";"eng_source_created_by";"String";"customerengsourcecreatedby"
"OmniImInAMess";"og_customer";"omnigen38";"eng_source_modified_date";"DATETIME";"customerengsourcemodifieddate"
"OmniImInAMess";"og_customer";"omnigen38";"eng_source_modified_by";"String";"customerengsourcemodifiedby"
"OmniImInAMess";"og_customer";"omnigen38";"eng_ocd_source_status_code";"String";"customerengocdsourcestatuscode"
"OmniImInAMess";"og_customer";"omnigen38";"eng_ocs_source_status_code";"String";"customerengocssourcestatuscode"
"OmniImInAMess";"og_customer";"omnigen38";"eng_parent_id";"String";"customerengparentid"
"OmniCRM";"og_customer";"omnigen38";;;"customer"
"OmniCRM";"og_customer";"omnigen38";;;"customer"
"OmniCRM";"og_customer";"omnigen38";;;"customer"
"OmniCRM";"og_customer";"omnigen38";;;"customer"
"OmniCRM";"og_customer";"omnigen38";;;"customer"
"OmniCRM";"og_customer";"omnigen38";;;"customer"
"OmniCRM";"og_customer";"omnigen38";"eng_id";"String";"customerengid"
"OmniCRM";"og_customer";"omnigen38";"eng_source_name";"String";"customerengsourcename"
"OmniCRM";"og_customer";"omnigen38";"eng_source_instance_id";"String";"customerengsourceinstanceid"
"OmniCRM";"og_customer";"omnigen38";"eng_source_instance_id_name";"String";"customerengsourceinstanceidname"
"OmniCRM";"og_customer";"omnigen38";"eng_statuseng_status_reason";"String";"customerengstatusengstatusreason"
"OmniCRM";"og_customer";"omnigen38";"eng_source_created_date";"DATETIME";"customerengsourcecreateddate"
"OmniCRM";"og_customer";"omnigen38";"eng_source_created_by";"String";"customerengsourcecreatedby"
"OmniCRM";"og_customer";"omnigen38";"eng_source_modified_date";"DATETIME";"customerengsourcemodifieddate"
"OmniCRM";"og_customer";"omnigen38";"eng_source_modified_by";"String";"customerengsourcemodifiedby"
"OmniCRM";"og_customer";"omnigen38";"eng_ocd_source_status_code";"String";"customerengocdsourcestatuscode"
"OmniCRM";"og_customer";"omnigen38";"eng_ocs_source_status_code";"String";"customerengocssourcestatuscode"
"OmniCRM";"og_customer";"omnigen38";"eng_parent_id";"String";"customerengparentid"
