"DomainName";"DomainLayerName";"DomainAttributeName";"J1"
"Customer";"Customer";"Gender";"customergender"
"Customer";"Customer";"Mobile";"customermobile"
"Customer";"Customer";"FullName";"customerfullname"
"Customer";"Customer";"Email";"customeremail"
"Customer";"Customer";"RecID";"customerrecid"
"Customer";"Customer";"BirthDate";"customerbirthdate"
"Customer";"Customer";"eng_id";"customerengid"
"Customer";"Customer";"eng_source_name";"customerengsourcename"
"Customer";"Customer";"eng_source_instance_id";"customerengsourceinstanceid"
"Customer";"Customer";"eng_source_instance_id_name";"customerengsourceinstanceidname"
"Customer";"Customer";"eng_statuseng_status_reason";"customerengstatusengstatusreason"
"Customer";"Customer";"eng_source_created_date";"customerengsourcecreateddate"
"Customer";"Customer";"eng_source_created_by";"customerengsourcecreatedby"
"Customer";"Customer";"eng_source_modified_date";"customerengsourcemodifieddate"
"Customer";"Customer";"eng_source_modified_by";"customerengsourcemodifiedby"
"Customer";"Customer";"eng_ocd_source_status_code";"customerengocdsourcestatuscode"
"Customer";"Customer";"eng_ocs_source_status_code";"customerengocssourcestatuscode"
"Customer";"Customer";"eng_parent_id";"customerengparentid"
