"records";"description";"keys";"ProfileInputName";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value";"br_indColumn";"br_name";"br_expression"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"f";"P_23";"RuleOne";"length(GD) > 1"
7;"false";7;"in";"GD";"S_2";"ru_RollupOnGD";"f";"P_23";"RuleOne";"length(GD) > 1"
0;"true";0;"in";"GD";"S_2";"ru_RollupOnGD";"f";"P_23";"RuleOne";"length(GD) > 1"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"f";"P_24";"RuleTwo";"length(GD) > 2"
7;"false";7;"in";"GD";"S_2";"ru_RollupOnGD";"f";"P_24";"RuleTwo";"length(GD) > 2"
0;"true";0;"in";"GD";"S_2";"ru_RollupOnGD";"f";"P_24";"RuleTwo";"length(GD) > 2"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"F";"P_23";"RuleOne";"length(GD) > 1"
16;"false";16;"in";"GD";"S_2";"ru_RollupOnGD";"F";"P_23";"RuleOne";"length(GD) > 1"
0;"true";0;"in";"GD";"S_2";"ru_RollupOnGD";"F";"P_23";"RuleOne";"length(GD) > 1"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"F";"P_24";"RuleTwo";"length(GD) > 2"
16;"false";16;"in";"GD";"S_2";"ru_RollupOnGD";"F";"P_24";"RuleTwo";"length(GD) > 2"
0;"true";0;"in";"GD";"S_2";"ru_RollupOnGD";"F";"P_24";"RuleTwo";"length(GD) > 2"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"fem";"P_23";"RuleOne";"length(GD) > 1"
0;"false";0;"in";"GD";"S_2";"ru_RollupOnGD";"fem";"P_23";"RuleOne";"length(GD) > 1"
1;"true";1;"in";"GD";"S_2";"ru_RollupOnGD";"fem";"P_23";"RuleOne";"length(GD) > 1"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"fem";"P_24";"RuleTwo";"length(GD) > 2"
0;"false";0;"in";"GD";"S_2";"ru_RollupOnGD";"fem";"P_24";"RuleTwo";"length(GD) > 2"
1;"true";1;"in";"GD";"S_2";"ru_RollupOnGD";"fem";"P_24";"RuleTwo";"length(GD) > 2"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"P_23";"RuleOne";"length(GD) > 1"
0;"false";0;"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"P_23";"RuleOne";"length(GD) > 1"
1;"true";1;"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"P_23";"RuleOne";"length(GD) > 1"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"P_24";"RuleTwo";"length(GD) > 2"
0;"false";0;"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"P_24";"RuleTwo";"length(GD) > 2"
1;"true";1;"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"P_24";"RuleTwo";"length(GD) > 2"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"Femail";"P_23";"RuleOne";"length(GD) > 1"
0;"false";0;"in";"GD";"S_2";"ru_RollupOnGD";"Femail";"P_23";"RuleOne";"length(GD) > 1"
3;"true";3;"in";"GD";"S_2";"ru_RollupOnGD";"Femail";"P_23";"RuleOne";"length(GD) > 1"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"Femail";"P_24";"RuleTwo";"length(GD) > 2"
0;"false";0;"in";"GD";"S_2";"ru_RollupOnGD";"Femail";"P_24";"RuleTwo";"length(GD) > 2"
