"item-count";"item-percent";"item-value";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName";"FrequencyType"
1;"1%";"1";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"2";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"3";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"4";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"5";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"6";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"7";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"8";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"9";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"10";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"11";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"12";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"13";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"14";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"15";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"16";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"17";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"18";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"19";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"20";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"21";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"22";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"23";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"24";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"25";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"26";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"27";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"28";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"29";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"30";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"31";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"32";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"33";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"34";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"35";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"36";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"37";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"38";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"39";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"40";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"41";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"42";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"43";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"44";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"45";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"46";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"47";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"48";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"49";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"50";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"51";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"52";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"53";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"54";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"55";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"56";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"57";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"58";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"59";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"60";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"61";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"62";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"63";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"64";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"65";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"66";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"67";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"68";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"69";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"70";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"71";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"72";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"73";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"74";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"75";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"76";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"77";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"78";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"79";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"80";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"81";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"82";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"83";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"84";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"85";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"86";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"87";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"88";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"89";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"90";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"91";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"92";"S_0";"LONG";"RecID";"in";"Value"
1;"1%";"93";"S_0";"LONG";"RecID";"in";"Value"
