"stat-multiple";"stat-type"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"sum"
"false";"avg"
"false";"std"
"false";"var"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
"false";"count"
"false";"count_nulls"
"false";"count_not_nulls"
"true";"first_x"
"true";"last_x"
"true";"quantiles"
"false";"distinct"
"false";"unique"
"false";"min"
"false";"max"
"false";"median"
"false";"min_positive_length"
"false";"min_length"
"false";"max_length"
"false";"avg_length"
"false";"median_length"
"false";"non_unique"
"false";"duplicate"
