"DQM_RecordID";"DQM_RecordScore";"DQM_RecordExplanation";"DQM_RuleCodesApplied";"DQM_RuleCodesAppliedLA";"DQM_RuleCodesAppliedLAGuid";"DQM_RuleCodesAppliedMappings";"DQM_RuleCodesAppliedForFilter";"DQM_RuleCodesAppliedLAForFilter";"DQM_RuleCodesAppliedLAFiltered";"DQM_RuleCodesFailed";"DQM_RuleCodesFailedLA";"tmp_RuleConditionMet";"tmp_RuleCodeLA";"Rule_Attribute_1";"tmp_LeadingAttribute";"tmp_RuleMappings";"tmp_useRuleFilter";"tmp_RuleCode";"tmp_RuleCodeLAGuid";"tmp_PreviousRuleConditionMet";"tmp_PreviousRuleCodeLA"
"1";;;;;;;;;;;;false;"ASIF";"M";"GD";"Rule_Attribute_1.GD";false;"1";"6922b86b-a1a8-4c8d-83e8-75d970cc36ca";false;"ASIF"
"2";;;;;;;;;;;;false;"ASIF";"M";"GD";"Rule_Attribute_1.GD";false;"1";"b3c40e0f-2eed-4aa9-a8c9-cb8d0e9f4a4d";false;"ASIF"
"3";;;;;;;;;;;;false;"ASIF";;"GD";"Rule_Attribute_1.GD";false;"1";"9a4d6274-486e-4adb-9b16-98b5a298b13c";false;"ASIF"
"4";;;;;;;;;;;;false;"ASIF";"M";"GD";"Rule_Attribute_1.GD";false;"1";"8570ebd6-965c-4c20-afe0-04f53c8c6682";false;"ASIF"
"5";;;;;;;;;;;;false;"ASIF";;"GD";"Rule_Attribute_1.GD";false;"1";"f04b2f97-98f9-426f-b372-6f5d940e72f2";false;"ASIF"
"6";;;;;;;;;;;;false;"ASIF";;"GD";"Rule_Attribute_1.GD";false;"1";"6b301d1e-507f-4918-9cf6-d190b2e114de";false;"ASIF"
"7";;;;;;;;;;;;false;"ASIF";;"GD";"Rule_Attribute_1.GD";false;"1";"a9e58bb7-5402-407b-a4de-6a21118c3016";false;"ASIF"
"8";;;;;;;;;;;;false;"ASIF";;"GD";"Rule_Attribute_1.GD";false;"1";"aed68706-8b62-429c-8eeb-3d9340fec602";false;"ASIF"
"9";;;;;;;;;;;;false;"ASIF";"F";"GD";"Rule_Attribute_1.GD";false;"1";"50ca6272-e786-49f3-bb4c-f5dc7fab25dc";false;"ASIF"
"10";;;;;;;;;;;;false;"ASIF";"F";"GD";"Rule_Attribute_1.GD";false;"1";"43f8f1f3-8888-42f9-9c2e-b80a4392f400";false;"ASIF"
"11";;;;;;;;;;;;false;"ASIF";"F";"GD";"Rule_Attribute_1.GD";false;"1";"49ff7750-36d2-49ec-a250-1c5054c8666f";false;"ASIF"
"12";;;;;;;;;;;;false;"ASIF";"F";"GD";"Rule_Attribute_1.GD";false;"1";"debc913e-1d9f-4e63-94e2-e9afb8fb767c";false;"ASIF"
