"item-count";"item-percent";"item-value";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName";"FrequencyType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
2;"28.5714285714%";"LLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
2;"28.5714285714%";"LLLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"LLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"LLLLLLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"LLLLLLLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
7;"100%";"L";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
6;"85.7142857143%";"DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"L/L";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
6;"85.7142857143%";"DDDD-DD-DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"L/L";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
5;"71.4285714286%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"DDDDDDDDDDD";"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"LL:DDDDDD";"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
3;"42.8571428571%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
3;"42.8571428571%";"DD DDDD DDDDDD DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"DD DDDD DDDDDD,DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
2;"28.5714285714%";;"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"LL.LLLL.LLLLL@LLLLL.L";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"LLLL.L.LLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"LLLL.LLLL.LLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"LLLL.LLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"LLLLL.LLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";;"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
6;"85.7142857143%";"D";"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";;"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
6;"85.7142857143%";"D";"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";;"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
6;"85.7142857143%";"D";"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
3;"42.8571428571%";;"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
3;"42.8571428571%";"LDDD";"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
1;"14.2857142857%";"LLLLL";"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"f"
2;"12.5%";"LLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"12.5%";"LLLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"12.5%";"LLLLLLL LLLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"L. LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"LL. LLL LLLL L.L.";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"LL. LLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"LL.LLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"LLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"LLLL LLLLLLL LLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"LLLLLL LLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"LLLLLL LLLL LLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"LLLLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"LLLLLLLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
16;"100%";"L";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";;"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
11;"68.75%";"DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"12.5%";"D.D.DDDD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"DDDD.DD.DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"L. DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
11;"68.75%";"DDDD-DD-DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"12.5%";"D.D.DDDD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"12.5%";"DDDDDD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"DDDD.DD.DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
9;"56.25%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
4;"25%";"LL:DDDDDD";"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
3;"18.75%";"DDDDDDDDDDD";"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
13;"81.25%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"12.5%";"DD DDDD DDDDDD DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"DD DDDD DDDDDD, DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
2;"12.5%";;"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
4;"25%";"LLLL.LLLLL@.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
3;"18.75%";"LL.LLLL.LLLLL@LLLLL.L";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
3;"18.75%";"LLLL.L.LLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
3;"18.75%";"LLLL.LLLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"6.25%";"LLLL.LLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
5;"31.25%";;"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
11;"68.75%";"D";"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
4;"25%";;"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
12;"75%";"D";"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
4;"25%";;"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
12;"75%";"D";"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
5;"31.25%";;"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
11;"68.75%";"LDDD";"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"F"
1;"100%";"LLLLLLLLLL LLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";"LLL";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";"DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";"DDDD-DD-DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";"LLLL.LLLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";"D";"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";"D";"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";"D";"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";"LDDD";"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"fem"
1;"100%";"LLLLLLLLL LLLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"100%";"LLL";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"100%";"DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"100%";"DDDD-DD-DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"100%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"100%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"100%";"LLLL.L.LLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"100%";;"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"100%";;"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"100%";;"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"100%";;"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Fem"
1;"33.3333333333%";"LLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"33.3333333333%";"LLLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"33.3333333333%";"LLLLLLLL LLLLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
3;"100%";"LLLLLL";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
3;"100%";"DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
3;"100%";"DDDD-DD-DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
2;"66.6666666667%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"33.3333333333%";"LL:DDDDDD";"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
2;"66.6666666667%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"33.3333333333%";"DD DDDD DDDDDD ,DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"33.3333333333%";;"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"33.3333333333%";"LLLL.LLLL.LLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"33.3333333333%";"LLLL.LLLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"33.3333333333%";;"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
2;"66.6666666667%";"D";"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"33.3333333333%";;"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
2;"66.6666666667%";"D";"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
3;"100%";"D";"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
2;"66.6666666667%";;"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"33.3333333333%";"LDDD";"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Femail"
1;"100%";"LLLLLLLLL LLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"100%";"LLLLL";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"100%";"DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"100%";"DDDD-DD-DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"100%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"100%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"100%";"LLLL.LLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"100%";"D";"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"100%";"D";"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"100%";"D";"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"100%";"LDDD";"S_11";"STRING";"titleCode";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"femal"
1;"16.6666666667%";"LL. LLLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"16.6666666667%";"LL.LLLLLLLL LLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"16.6666666667%";"LLLLL LLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"16.6666666667%";"LLLLL LLLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"16.6666666667%";"LLLLLL LLLLLLLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"16.6666666667%";"LLLLLLL LLL";"S_1";"STRING";"FullName";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
6;"100%";"LLLLLL";"S_2";"STRING";"GD";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
5;"83.3333333333%";"DDDD-DD-DD";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"16.6666666667%";"L/L";"S_3";"STRING";"CalculatedDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
5;"83.3333333333%";"DDDD-DD-DD";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"16.6666666667%";"L/L";"S_4";"STRING";"BirthDate";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
4;"66.6666666667%";;"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
2;"33.3333333333%";"LL:DDDDDD";"S_5";"STRING";"Description";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
5;"83.3333333333%";"DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"16.6666666667%";"DD DDDD DDDDDD,DD DDDD DDDDDD";"S_6";"STRING";"Mobile";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
4;"66.6666666667%";;"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"16.6666666667%";"LLLL.LLLL.LLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
1;"16.6666666667%";"LLLL.LLLLL@LLLLL.LLL";"S_7";"STRING";"Email";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
2;"33.3333333333%";;"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
4;"66.6666666667%";"D";"S_8";"STRING";"directmailing";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
2;"33.3333333333%";;"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
4;"66.6666666667%";"D";"S_9";"STRING";"directemail";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
2;"33.3333333333%";;"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
4;"66.6666666667%";"D";"S_10";"STRING";"directtelephone";"in";"Masked";"GD";"S_2";"ru_RollupOnGD";"Female"
